"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1095","Validate_Bad_Request_error_for_Empty_Password","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","4871","Verify that API rejects an invalid or expired authentication token","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.authentication.InvalidTokenTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.InvalidTokenTest","invalidTokenTest"
"","1156","Validate_Bad_Request_error_for_Empty_LastName","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","1184","Validate_Bad_Request_error_for_Empty_FirstName","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","testParameterizedLogin"
"","2414","Validate_Bad_Request_error_for_Empty_FirstName","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","testParameterizedAddContact"
"","1115","Validate_Bad_Request_error_for_Empty_LastName","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","testParameterizedLogin"
"","1277","Validate_Bad_Request_error_for_Short_Password","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","3472","Validate Successful Update Contact","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.contactmanagement.UpdateContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.UpdateContactTest","testUpdateContactSuccessfully"
"","3525","Validate Successful Read Contact","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.contactmanagement.ReadContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.ReadContactTest","testReadContactSuccessfully"
"","297","Verify TLS 1.0 connections are rejected","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.securitymanagement.TlsSecurityTest","API Test Suite","com.cheq.application.tests.contactlist.securitymanagement.TlsSecurityTest","testTls10IsRejected"
"","2371","Validate_Bad_Request_error_for_Invalid_Date_Format","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","testParameterizedAddContact"
"","2286","Validate Successful User Logged out","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.authentication.LogoutSuccessfulTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.LogoutSuccessfulTest","testSuccessfulUserLogout"
"","1141","Validate_Bad_Request_error_for_Invalid_Email_Format","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","testParameterizedLogin"
"","10570","Validate Successful Add Multiple Contact","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.contactmanagement.AddMultipleContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.AddMultipleContactTest","testAddMultipleContactSuccessfully"
"","1160","Validate_Bad_Request_error_for_Empty_FirstName","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","2326","Validate Successful delete user","API Automation Suite","2026-08-20","passed","2026-08-20","com.cheq.application.tests.contactlist.usermanagement.DeleteUserTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.DeleteUserTest","testDeleteUser"
